id,first_name,second_name
594,Alexander,Isak
626,Loris,Karius
683,Garang,Kuol
741,Lewis,Miley
776,Mark,Gillespie
295,Neco,Williams
349,Jonjo,Shelvey
354,Chris,Wood
378,Harry,Arter
379,Steve,Cook
380,Lyle,Taylor
381,Jack,Colback
382,Brice,Samba
383,Carlos,Ribeiro Dias
384,Joe,Lolley
385,Scott,McKenna
386,Mohamed,Dräger
387,Ryan,Yates
388,Joe,Worrall
389,Jonathan,Panzo
390,Xande,Nascimento da Costa Silva
391,Sam,Surridge
392,Richie,Laryea
393,Loïc,Mbe Soh
394,Brennan,Johnson
395,Alex,Mighten
396,Braian,Ojeda Rodríguez
397,Taiwo,Awoniyi
398,Dean,Henderson
399,Giulian,Biancone
474,Willy,Boly
493,Morgan,Gibbs-White
507,Moussa,Niakhaté
511,Omar,Richards
518,Wayne,Hennessey
523,Harry,Toffolo
524,Lewis,O'Brien
527,Jesse,Lingard
536,Orel,Mangala
553,Oliver,Hammond
582,Remo,Freuler
583,Cheikhou,Kouyaté
585,Emmanuel,Dennis
602,Renan Augusto,Lodi dos Santos
621,Loïc,Badé
628,Serge,Aurier
666,Dale,Taylor
675,Jordan,Smith
681,Gustavo Henrique,Furtado Scarpa
703,Danilo,dos Santos de Oliveira
729,Keylor,Navas
730,Felipe Augusto,de Almeida Monteiro
734,André,Ayew
749,George,Shelvey
21,Ainsley,Maitland-Niles
321,Roméo,Lavia
400,Theo,Walcott
401,Alex,McCarthy
402,Oriol,Romeu Vidal
403,Nathan,Redmond
405,Stuart,Armstrong
406,Mohamed,Elyounoussi
407,James,Ward-Prowse
408,Adam,Armstrong
409,Kyle,Walker-Peters
410,Jan,Bednarek
411,Che,Adams
412,Nathan,Tella
413,Lyanco,Silveira Neves Vojnovic
414,Yan,Valery
415,Will,Smallbone
416,Ibrahima,Diallo
417,Romain,Perraud
418,Moussa,Djenepo
419,Tino,Livramento
420,Mohammed,Salisu
421,Mateusz,Lis
422,Gavin,Bazunu
423,Armel,Bella-Kotchap
424,Willy,Caballero
512,Joe,Ayodele-Aribo
528,Sékou,Mara
622,Juan,Larios López
623,Duje,Caleta-Car
624,Samuel,Edozie
647,Lewis,Payne
648,Ryan,Finnigan
671,Jimmy,Morgan
692,Mislav,Orsic
693,Carlos,Alcaraz
716,James,Bree
731,Kamaldeen,Sulemana
732,Paul,Onuachu
769,Kamari,Doyle
770,Dominic,Ballard
778,Samuel,Amo-Ameyaw
425,Hugo,Lloris
426,Fraser,Forster
427,Harry,Kane
428,Son,Heung-min
429,Matt,Doherty
430,Eric,Dier
431,Lucas,Rodrigues Moura da Silva
432,Ben,Davies
433,Pierre-Emile,Højbjerg
434,Harry,Winks
435,Davinson,Sánchez
436,Ryan,Sessegnon
437,Steven,Bergwijn
438,Sergio,Reguilón
439,Japhet,Tanganga
440,Rodrigo,Bentancur
441,Oliver,Skipp
442,Joe,Rodon
443,Cristian,Romero
444,Yves,Bissouma
445,Emerson,Leite de Souza Junior
446,Dejan,Kulusevski
447,Dane,Scarlett
448,Ivan,Perišić
449,Harvey,White
450,Pape Matar,Sarr
451,Brandon,Austin
452,Alfie,Devine
453,Troy,Parrott
454,Richarlison,de Andrade
513,Clément,Lenglet
522,Djed,Spence
554,Bryan,Gil Salvatierra
713,Arnaut,Danjuma
733,Pedro,Porro
748,Romaine,Mundle
758,George,Abbott
764,Matthew,Craig
777,Yago,de Santiago Alonso
30,Danny,Ings
455,Lukasz,Fabianski
456,Angelo,Ogbonna
457,Aaron,Cresswell
458,Michail,Antonio
460,Manuel,Lanzini
461,Kurt,Zouma
462,Arthur,Masuaku
463,Vladimir,Coufal
464,Saïd,Benrahma
465,Jarrod,Bowen
466,Nikola,Vlasic
467,Declan,Rice
468,Tomas,Soucek
469,Pablo,Fornals Malla
471,Ben,Johnson
472,Nayef,Aguerd
473,Alphonse,Areola
509,Flynn,Downes
529,Gianluca,Scamacca
545,Emerson,Palmieri dos Santos
556,Conor,Coventry
572,Armstrong,Oko-Flex
575,Maxwel,Cornet
588,Thilo,Kehrer
603,Lucas,Tolentino Coelho de Lima
669,Divin,Mubama
739,Joseph,Anang
740,Krisztián,Hegyi
746,Kaelan,Casey
459,Craig,Dawson
476,Raúl,Jiménez
477,Jonathan,Castro Otto
478,José,Malheiro de Sá
480,Rúben,da Silva Neves
481,Hwang,Hee-chan
482,Nélson,Cabral Semedo
483,Daniel,Castelo Podence
484,Max,Kilman
485,Luke,Cundle
486,Pedro,Lomba Neto
487,Rayan,Aït-Nouri
488,Fabio,Silva
489,Toti António,Gomes
490,Francisco Jorge,Tomás Oliveira
491,Adama,Traoré Diarra
492,Matija,Šarkić
494,Yerson,Mosquera Valdelamar
503,João Filipe Iria,Santos Moutinho
516,Nathan,Collins
557,Jackson,Smith
558,Hugo,Bueno López
566,Joseph,Hodge
567,Connor,Ronan
568,Chem,Campbell
579,Gonçalo Manuel,Ganchinho Guedes
589,Matheus Luiz,Nunes
608,Sasa,Kalajdzic
625,Diego,Da Silva Costa
629,Boubacar,Traoré
657,Nathan,Fraser
658,Harvey,Griffiths
664,Dexter,Lembikisa
682,Matheus,Santos Carneiro Da Cunha
698,Mario,Lemina
704,Pablo,Sarabia
717,Daniel,Bentley
721,João Victor,Gomes da Silva
